lat,lon,Submission,radius
40.71,-74.36,2:5,1
40.73,-73.68,1:11,1
40.74,-73.93,10:7,1
40.76,-73.96,10:8,1
40.80,-124.15,11:2,1
40.84,-74.58,2:9,1
40.84,-73.87,2:8,1
40.87,-73.08,1:18,1
40.94,-73.99,1:11,1
40.98,-73.69,10:8,1
40.98,-72.18,1:12,1
41.06,-73.63,1:11,1
41.13,-124.04,11:2,1
41.18,-73.42,10:9,1
41.31,-105.58,10:9,1
41.54,-87.45,1:29,1
41.66,-70.93,1:11,1
41.76,-72.68,1:11,1
41.84,-91.69,1:14,1
41.86,-87.81,10:7,1
41.92,-88.30,10:6,1
41.92,-73.90,11:2,1
41.96,-71.18,10:6,1
42.01,-87.84,11:2,1
42.07,-87.72,1:18,1
42.12,-88.27,11:2,1
42.15,-122.53,1:11,1
42.23,-87.85,10:8,1
42.24,-71.27,1:11,1
42.25,-84.20,10:8,1
42.26,-71.61,10:9,1
42.31,-83.21,1:11,1
42.33,-122.79,1:14,1
42.35,-71.06,1:11,1
42.36,-71.26,11:2,1
42.45,-71.14,1:11,1
42.50,-83.15,10:9,1
42.59,-71.36,2:13,1
42.80,-73.92,4:21,1
42.88,-78.85,10:7,1
43.07,-89.38,4:15,1
43.15,-77.44,1:11,1
43.16,-77.61,1:12,1
43.18,-70.67,1:11,1
43.47,-110.76,11:2,1
43.50,-110.87,11:2,1
43.57,-110.81,1:12,1
43.62,-116.32,1:11,1
43.63,-116.32,1:15,1
43.65,-116.93,1:16,1
43.77,-114.62,11:2,1
43.79,-116.38,1:11,1
43.98,-121.27,4:23,1
44.05,-71.12,1:11,1
44.06,-116.70,1:11,1
44.33,-72.98,1:11,1
44.52,-73.05,1:11,1
44.85,-93.55,11:2,1
44.90,-122.92,1:11,1
44.90,-93.74,1:11,1
45.01,-123.01,1:11,1
45.21,-122.66,1:11,1
45.23,-122.80,11:2,1
45.40,-122.79,1:27,1
45.45,-122.69,1:22,1
45.48,-122.69,1:11,1
45.54,-122.67,1:11,1
45.55,-122.73,1:11,1
45.73,-122.76,1:13,1
45.79,-121.89,1:14,1
45.87,-95.37,2:3,1
46.51,-112.12,10:6,1
46.55,-87.39,1:11,1
46.94,-113.85,1:11,1
47.24,-122.53,1:11,1
47.29,-122.50,1:11,1
47.39,-122.26,1:11,1
47.57,-122.75,1:11,1
47.57,-122.40,1:11,1
47.60,-122.11,1:11,1
47.63,-122.32,1:25,1
47.64,-122.53,11:2,1
47.66,-122.29,1:11,1
47.67,-122.34,1:11,1
47.72,-122.20,1:17,1
47.90,-122.18,10:9,1
61.11,-149.90,11:2,1
25.68,-80.16,2:1,1
25.68,-80.16,2:1,2
25.77,-80.20,10:9,1
25.77,-80.20,1:26,2
26.74,-80.12,4:11,1
26.74,-80.12,4:11,2
29.45,-98.50,11:2,1
29.45,-98.50,1:11,2
29.61,-95.61,10:9,1
29.61,-95.61,1:31,2
32.79,-96.76,1:11,1
32.79,-96.76,1:11,2
32.85,-117.20,11:2,1
33.02,-97.09,1:11,1
33.02,-97.09,1:11,2
33.09,-117.27,1:11,1
33.60,-117.71,11:2,1
33.61,-117.61,4:27,1
33.62,-117.93,11:2,1
33.63,-117.81,11:2,1
33.82,-118.11,1:11,1
33.83,-117.60,1:11,1
33.83,-117.60,1:26,2
33.85,-117.79,11:2,1
33.89,-117.44,11:2,1
34.03,-118.43,1:11,1
34.03,-118.43,1:13,2
34.04,-117.98,3:25,1
34.06,-118.35,10:6,1
34.10,-118.45,1:11,1
34.16,-118.08,10:9,1
34.16,-118.08,10:9,2
34.17,-118.17,1:16,1
34.44,-119.61,11:2,1
34.44,-119.61,1:11,2
34.46,-118.57,1:11,1
35.33,-119.02,1:11,1
35.67,-105.95,10:7,1
35.67,-105.95,1:11,2
35.98,-115.11,10:9,1
35.98,-115.11,1:11,2
36.03,-115.07,1:12,1
36.03,-115.07,2:10,2
36.12,-95.91,10:7,1
36.12,-95.91,11:2,2
36.18,-119.36,10:9,1
36.46,-121.82,10:8,1
36.46,-121.82,11:2,2
36.60,-121.88,4:7,1
36.60,-121.88,4:7,2
36.67,-121.79,11:2,1
36.67,-121.79,3:16,2
37.00,-121.87,10:5,1
37.00,-121.87,1:11,2
37.06,-122.01,10:3,1
37.06,-122.01,11:2,2
37.28,-121.94,1:11,1
37.34,-121.88,10:7,1
37.34,-121.88,1:11,2
37.36,-122.02,1:12,1
37.54,-122.50,1:11,1
37.54,-122.50,1:14,2
37.58,-118.84,4:10,1
37.58,-118.84,4:11,2
37.67,-120.95,10:9,1
37.67,-120.95,1:21,2
37.73,-121.42,1:29,1
37.95,-122.26,1:18,1
38.18,-121.73,1:11,1
38.34,-121.42,1:11,1
38.34,-121.42,1:11,2
38.54,-121.72,10:9,1
38.58,-121.40,10:5,1
38.58,-121.40,1:12,2
38.60,-121.26,11:2,1
38.60,-121.26,1:11,2
38.61,-121.49,1:11,1
38.61,-121.49,1:11,2
38.62,-121.38,11:2,1
38.62,-121.38,11:2,2
38.62,-121.32,10:5,1
38.62,-121.32,2:18,2
38.71,-121.36,1:11,1
38.71,-121.36,1:11,2
38.78,-121.37,10:7,1
38.78,-121.37,1:22,2
38.80,-121.24,1:29,1
38.80,-121.24,1:29,2
38.80,-77.32,11:2,1
38.80,-77.32,1:11,2
38.81,-121.16,11:2,1
38.81,-121.16,1:26,2
38.93,-121.25,1:12,1
38.93,-121.25,1:12,2
39.27,-122.05,10:9,1
39.27,-122.05,10:9,2
39.32,-120.18,1:13,1
39.32,-120.18,2:6,2
39.38,-119.67,1:11,1
39.38,-119.67,1:11,2
39.48,-119.74,10:7,1
39.48,-119.74,10:7,2
39.50,-106.04,2:14,1
39.50,-106.04,2:14,2
39.74,-121.83,10:7,1
39.74,-121.83,11:2,2
39.90,-121.83,10:7,1
39.90,-121.83,1:11,2
39.96,-86.10,1:11,1
39.96,-86.10,1:14,2
39.98,-82.98,10:7,1
39.98,-82.98,4:11,2
40.29,-83.08,1:11,1
40.29,-83.08,1:11,2
40.32,-74.62,11:2,1
40.35,-74.65,11:2,2
40.46,-111.63,1:11,1
40.46,-111.63,1:11,2
40.55,-111.96,1:11,1
40.55,-111.96,1:11,2
40.62,-111.71,1:19,1
40.62,-111.71,1:19,2
40.65,-111.83,1:11,1
40.65,-111.83,1:11,2
40.67,-111.79,1:11,1
40.67,-111.79,1:11,2
40.71,-111.55,1:11,1
40.71,-111.55,1:11,2
40.77,-73.95,10:8,1
40.77,-73.95,10:8,2
40.88,-111.82,1:11,1
40.88,-111.82,1:11,2
40.93,-73.82,10:8,1
40.93,-73.82,11:2,2
41.06,-73.86,1:12,1
41.06,-73.86,1:12,2
41.50,-87.50,1:13,1
41.50,-87.50,1:13,2
41.65,-91.53,11:2,1
41.65,-91.53,11:2,2
41.88,-87.78,1:11,1
41.88,-87.78,1:11,2
41.89,-87.81,10:9,1
41.89,-87.81,11:2,2
42.54,-83.21,10:8,1
42.54,-83.21,1:12,2
42.63,-84.52,1:14,1
42.63,-84.52,1:15,2
43.04,-76.14,1:11,1
43.04,-76.14,1:11,2
43.06,-87.96,3:3,1
43.06,-87.96,3:4,2
43.53,-72.96,10:9,1
43.53,-72.96,10:9,2
43.60,-116.12,10:8,1
43.60,-116.12,10:8,2
44.66,-124.01,1:20,1
44.66,-124.01,1:21,2
45.26,-111.32,4:23,1
45.26,-111.32,4:24,2
45.40,-122.68,1:11,1
45.49,-122.77,10:5,2
45.53,-122.68,1:11,1
45.53,-122.68,4:18,2
45.54,-122.64,1:18,1
45.54,-122.64,2:27,2
45.60,-122.51,11:2,1
45.60,-122.51,11:2,2
47.42,-122.45,1:24,1
47.42,-122.45,1:31,2
47.54,-122.31,1:11,1
47.54,-122.31,1:11,2
47.55,-122.37,1:11,1
47.55,-122.37,1:11,2
47.58,-122.30,11:2,1
47.58,-122.30,1:11,2
47.61,-122.20,11:2,1
47.61,-122.20,1:11,2
47.62,-122.16,1:12,1
47.63,-122.34,1:12,1
47.63,-122.34,4:14,2
47.75,-122.29,1:11,1
61.19,-149.94,1:11,1
61.19,-149.94,1:11,2
32.71,-117.16,1:11,1
32.90,-96.55,1:11,1
33.14,-96.81,11:2,1
33.14,-96.81,1:11,2
33.14,-96.81,1:12,3
33.60,-117.64,1:26,1
33.60,-117.64,3:11,2
33.61,-111.89,4:19,1
33.83,-112.11,11:2,2
33.83,-112.11,4:13,3
33.86,-118.18,1:11,1
34.00,-117.12,11:2,1
34.00,-117.12,1:11,2
34.00,-117.12,1:12,3
34.02,-118.47,11:10,1
34.09,-118.41,1:11,1
34.11,-118.15,1:14,1
34.83,-82.37,1:15,1
34.83,-82.37,1:15,2
34.83,-82.37,1:15,3
35.11,-106.62,11:2,1
35.11,-106.62,11:2,2
35.11,-106.62,4:12,3
36.09,-115.38,11:2,1
36.09,-115.38,1:14,2
36.09,-115.38,1:16,3
36.18,-115.38,10:9,1
36.18,-115.38,1:11,2
36.18,-115.38,2:5,3
36.93,-119.56,10:7,1
36.93,-119.56,10:7,2
36.93,-119.56,11:2,3
37.04,-122.10,1:11,1
37.04,-122.10,1:18,2
37.04,-122.10,1:18,3
37.50,-122.30,10:7,1
37.50,-122.30,1:11,2
37.67,-122.47,11:2,3
37.69,-122.01,1:11,1
37.71,-122.16,1:11,1
37.88,-121.84,1:11,1
37.88,-121.84,1:12,2
37.88,-121.84,2:14,3
38.35,-121.42,11:2,1
38.35,-121.42,1:11,2
38.35,-121.42,1:22,3
38.48,-121.64,11:2,1
38.48,-121.64,1:11,2
38.48,-121.64,4:9,3
38.51,-121.12,10:8,1
38.51,-121.12,10:8,2
38.51,-121.12,2:19,3
39.33,-120.24,10:4,1
39.33,-120.24,11:2,2
39.33,-120.24,1:11,3
39.73,-105.21,11:2,1
39.73,-105.21,1:11,2
39.73,-105.21,1:15,3
40.47,-106.82,1:11,1
40.47,-106.82,2:9,2
40.47,-106.82,2:11,3
41.14,-104.79,3:18,1
41.14,-104.79,3:19,2
41.62,-70.44,1:11,1
42.20,-70.94,10:9,1
42.30,-71.28,1:11,1
42.32,-71.14,1:11,1
42.32,-71.14,1:15,2
42.37,-71.11,1:11,1
42.37,-71.11,1:11,2
42.48,-71.46,11:3,1
42.48,-71.46,1:11,2
44.94,-93.10,10:5,1
44.94,-93.10,10:6,2
44.94,-93.10,10:7,3
45.34,-122.66,1:11,1
45.34,-122.66,1:11,2
45.34,-122.66,1:11,3
45.55,-122.81,11:2,1
45.55,-122.81,11:2,2
45.55,-122.81,1:13,3
29.76,-95.38,11:2,1
29.76,-95.38,3:14,2
29.76,-95.38,3:14,3
29.76,-95.38,3:25,4
33.57,-117.72,11:2,1
33.57,-117.72,1:14,2
33.78,-117.93,1:11,3
34.11,-118.26,10:7,4
37.44,-122.41,10:7,1
37.44,-122.41,10:9,2
37.44,-122.41,1:11,3
37.50,-122.47,1:11,4
37.95,-122.07,10:3,1
37.95,-122.07,10:3,2
37.95,-122.07,1:12,3
38.42,-122.54,10:6,4
38.44,-121.30,1:18,1
38.48,-121.34,10:8,2
38.48,-121.34,11:2,3
38.48,-121.34,1:11,4
38.68,-121.22,10:4,1
38.68,-121.22,10:9,2
38.68,-121.22,11:2,3
38.68,-121.22,11:2,4
39.18,-120.14,10:5,1
39.18,-120.14,11:2,2
39.18,-120.14,11:2,3
39.18,-120.14,11:2,4
39.49,-119.84,10:3,1
39.49,-119.84,1:14,2
39.49,-119.84,2:10,3
39.49,-119.84,2:10,4
40.56,-111.72,1:11,1
40.56,-111.72,1:11,2
40.56,-111.72,1:11,3
40.56,-111.72,1:11,4
40.64,-73.94,11:2,1
40.64,-73.94,1:11,2
40.64,-73.94,1:12,3
40.64,-73.94,4:28,4
41.27,-73.49,1:11,1
41.27,-73.49,1:11,2
41.27,-73.49,1:11,3
41.27,-73.49,1:11,4
44.38,-73.23,10:9,1
44.38,-73.23,10:9,2
44.38,-73.23,10:9,3
44.38,-73.23,10:9,4
46.59,-120.53,1:11,1
46.59,-120.53,1:11,2
46.59,-120.53,1:11,3
46.59,-120.53,1:11,4
47.56,-122.22,1:15,1
47.63,-122.29,1:30,2
47.63,-122.29,2:13,3
47.63,-122.29,2:13,4
47.68,-122.12,1:11,1
47.68,-122.12,1:11,2
47.68,-122.12,1:12,3
47.68,-122.12,4:12,4
32.72,-117.23,1:11,1
32.72,-117.23,1:11,2
32.99,-117.07,1:11,1
33.35,-117.43,1:11,2
33.74,-117.82,1:11,3
33.74,-117.82,1:11,4
33.75,-118.31,10:9,1
33.75,-118.31,2:3,2
33.75,-118.31,2:4,3
33.78,-117.86,10:4,1
34.02,-118.39,1:11,1
34.06,-118.43,11:2,2
34.15,-118.52,10:5,3
37.22,-121.78,11:2,1
37.22,-121.78,11:2,2
37.37,-122.21,1:11,1
37.37,-122.21,1:11,2
37.37,-122.21,1:11,3
37.37,-122.21,1:12,4
37.37,-122.21,1:14,5
37.73,-122.24,10:9,1
37.73,-122.24,10:9,2
37.73,-122.24,1:11,3
37.94,-122.31,10:9,1
37.94,-122.31,11:2,2
38.61,-120.97,10:7,1
38.61,-120.97,10:7,2
38.61,-120.97,10:7,3
38.61,-120.97,10:9,4
38.61,-120.97,2:15,5
40.60,-122.46,10:6,1
40.60,-122.46,1:11,2
40.60,-122.46,1:11,3
40.60,-122.46,1:11,4
40.60,-122.46,1:11,5
41.83,-87.68,10:7,1
41.83,-87.68,10:7,2
41.83,-87.68,1:11,3
41.83,-87.68,1:11,4
41.83,-87.68,1:17,5
44.96,-93.26,1:11,1
44.96,-93.26,1:11,2
44.96,-93.26,1:22,3
44.96,-93.26,1:27,4
44.96,-93.26,2:17,5
47.55,-122.00,1:11,1
47.55,-122.00,1:11,2
47.55,-122.00,1:26,3
47.55,-122.00,1:26,4
47.55,-122.00,1:26,5
30.26,-97.74,10:9,1
30.26,-97.74,1:12,2
30.26,-97.74,1:12,3
30.26,-97.74,2:24,4
30.26,-97.74,3:3,5
30.26,-97.74,4:7,6
33.52,-117.61,10:7,1
33.52,-117.61,11:2,2
33.52,-117.61,1:11,3
33.61,-117.54,11:2,1
33.70,-117.79,1:11,1
33.70,-117.79,1:11,2
33.76,-117.79,1:11,1
33.90,-117.91,10:7,1
33.90,-117.91,1:11,2
33.94,-117.95,3:27,3
33.97,-117.90,1:11,1
34.00,-118.03,11:2,1
34.01,-119.72,11:2,1
34.01,-119.72,11:2,2
34.01,-119.72,11:2,3
34.01,-119.72,11:2,4
34.01,-119.72,1:11,5
34.01,-119.72,3:24,6
34.20,-118.13,1:11,1
34.20,-118.13,1:11,2
34.20,-118.13,1:11,3
34.20,-118.13,4:17,4
34.23,-118.24,1:11,1
34.23,-118.24,1:11,2
34.23,-118.24,1:11,3
35.18,-119.21,1:26,1
35.18,-119.21,2:6,2
35.25,-120.62,10:4,1
35.25,-120.62,10:4,2
35.25,-120.62,10:8,3
35.25,-120.62,10:8,4
35.25,-120.62,11:2,5
35.25,-120.62,1:13,6
35.45,-120.71,11:2,1
35.45,-120.71,1:11,2
36.39,-121.65,4:7,3
36.39,-121.65,4:7,4
36.39,-121.65,4:24,5
36.39,-121.65,4:24,6
37.74,-122.48,10:7,1
37.74,-122.48,11:2,2
37.74,-122.48,1:11,3
37.74,-122.48,1:11,4
37.74,-122.48,1:14,5
37.74,-122.48,2:28,6
37.80,-120.74,10:8,1
37.80,-120.74,1:11,2
37.80,-120.74,1:11,3
38.00,-122.03,1:11,1
38.00,-122.03,1:11,2
38.11,-122.20,1:14,1
38.53,-121.66,10:7,1
38.53,-121.66,11:2,2
38.53,-121.66,1:11,3
38.53,-121.66,1:11,4
38.53,-121.66,1:11,5
38.53,-121.66,1:11,6
38.55,-121.49,1:13,1
38.55,-121.49,1:19,2
38.55,-121.49,1:22,3
38.56,-121.43,10:5,1
38.56,-121.43,10:9,2
38.56,-121.43,11:2,3
38.56,-121.43,11:2,4
38.56,-121.43,1:19,5
38.57,-121.46,10:7,1
38.57,-121.46,10:7,2
38.57,-121.46,10:7,3
38.57,-121.46,10:7,4
38.57,-121.46,10:9,5
38.57,-121.46,4:24,6
38.57,-121.17,10:9,1
38.57,-121.17,1:11,2
38.57,-121.17,1:11,3
38.65,-121.25,11:2,4
38.65,-121.25,1:11,5
38.65,-121.25,1:11,6
38.69,-121.56,1:17,1
38.73,-120.80,10:6,1
38.73,-120.80,10:6,2
38.73,-120.80,10:6,3
38.73,-120.80,1:29,4
38.73,-120.80,1:29,5
38.73,-120.80,1:31,6
34.01,-117.85,1:11,1
34.15,-117.99,1:11,2
34.15,-117.99,1:11,3
34.19,-118.76,1:11,1
35.38,-119.22,1:11,1
36.00,-114.96,1:14,1
36.00,-114.96,1:14,2
36.00,-114.96,1:16,3
36.00,-114.96,1:16,4
36.00,-114.96,1:20,5
36.00,-114.96,1:20,6
36.00,-114.96,4:19,7
37.06,-121.55,1:23,1
37.24,-121.73,1:20,2
37.27,-121.84,10:9,1
37.27,-121.84,10:9,2
37.27,-121.84,11:2,3
37.37,-121.86,1:11,1
37.37,-121.86,4:22,2
37.39,-121.96,10:7,1
37.39,-121.96,1:11,2
37.39,-121.96,1:11,3
37.81,-122.30,1:11,1
37.81,-122.30,1:17,2
37.83,-121.03,10:4,1
38.23,-122.12,10:7,1
38.23,-122.12,10:7,2
38.23,-122.12,10:8,3
38.23,-122.12,1:11,4
38.23,-122.12,1:11,5
38.52,-123.01,1:13,1
38.55,-122.39,10:7,1
38.55,-122.39,10:7,2
38.55,-122.39,1:11,3
38.74,-121.25,10:6,1
38.74,-121.25,10:9,2
38.74,-121.25,11:2,3
38.74,-121.25,12:4,4
38.74,-121.25,1:11,5
38.74,-121.25,1:11,6
38.74,-121.25,4:24,7
39.04,-122.93,3:17,1
39.04,-122.93,4:6,2
40.33,-111.57,10:8,1
40.33,-111.57,1:11,2
40.33,-111.57,1:11,3
40.33,-111.57,1:21,4
40.33,-111.57,1:21,5
40.33,-111.57,2:24,6
40.33,-111.57,2:24,7
40.81,-124.01,10:8,1
40.81,-124.01,10:8,2
40.85,-124.05,11:2,3
40.85,-124.05,1:11,4
40.85,-124.05,1:12,5
40.85,-124.05,1:29,6
33.60,-117.66,1:11,1
33.60,-117.66,1:11,2
33.60,-117.66,3:9,3
33.67,-117.73,11:3,4
33.70,-117.76,10:7,5
33.86,-118.33,10:7,1
33.99,-118.46,1:11,2
33.99,-118.46,1:11,3
33.99,-118.46,1:18,4
34.12,-118.11,1:11,1
34.14,-118.13,1:11,2
34.14,-118.13,1:20,3
34.26,-118.32,1:11,1
37.38,-122.07,11:2,1
37.38,-122.07,11:2,2
37.38,-122.07,1:11,3
37.38,-122.07,1:11,4
37.44,-122.15,10:7,1
37.44,-122.15,1:11,2
37.44,-122.15,1:13,3
37.44,-122.15,1:13,4
37.44,-122.15,4:6,5
37.52,-122.35,10:8,1
37.52,-122.35,11:2,2
37.52,-122.35,11:2,3
37.52,-122.35,1:11,4
37.52,-122.35,1:11,5
37.52,-122.35,1:12,6
37.52,-122.35,1:26,7
37.52,-122.35,2:18,8
37.55,-122.26,1:11,1
37.55,-122.26,3:4,2
37.59,-122.06,11:2,1
37.80,-122.27,10:5,2
37.80,-122.27,1:13,3
37.80,-122.27,1:14,4
37.84,-122.53,10:5,1
37.84,-122.53,1:12,2
37.84,-122.53,3:13,3
37.97,-121.96,10:7,1
37.97,-121.96,1:13,2
38.23,-122.29,11:2,1
38.23,-122.29,2:3,2
38.24,-122.95,1:11,1
38.49,-121.53,10:6,1
38.49,-121.53,10:6,2
38.49,-121.53,10:7,3
38.49,-121.53,10:8,4
38.49,-121.53,10:9,5
38.49,-121.53,1:11,6
38.49,-121.53,1:11,7
38.49,-121.53,1:19,8
38.62,-122.61,1:11,1
38.62,-122.61,1:13,2
38.62,-122.61,1:17,3
38.82,-123.51,1:11,1
39.59,-105.01,1:11,1
39.59,-105.01,1:11,2
39.59,-105.01,1:11,3
39.59,-105.01,1:11,4
39.59,-105.01,1:11,5
39.59,-105.01,1:11,6
39.59,-105.01,1:11,7
39.59,-105.01,1:11,8
40.02,-105.25,11:2,1
40.02,-105.25,11:2,2
40.02,-105.25,1:11,3
40.02,-105.25,1:11,4
40.02,-105.25,1:11,5
40.02,-105.25,1:11,6
40.02,-105.25,2:18,7
40.02,-105.25,4:27,8
47.61,-122.21,1:11,1
47.61,-122.21,1:15,2
47.61,-122.21,1:15,3
47.68,-122.28,10:5,4
47.68,-122.28,1:11,5
47.68,-122.28,1:11,6
47.68,-122.28,1:11,7
47.68,-122.28,1:11,8
33.56,-117.63,3:14,1
33.60,-117.82,10:8,1
33.60,-117.82,11:2,2
34.06,-118.81,10:8,1
34.14,-118.89,10:8,2
37.40,-122.29,10:5,1
37.40,-122.29,1:11,2
37.40,-122.29,1:11,3
37.40,-122.29,1:11,4
37.40,-122.29,1:11,5
37.40,-122.29,1:11,6
37.40,-122.29,1:12,7
37.40,-122.29,2:1,8
37.40,-122.29,2:8,9
37.42,-122.00,10:9,1
37.42,-122.00,1:13,2
37.57,-122.32,10:7,1
37.57,-122.32,11:2,2
37.57,-122.32,1:11,3
37.57,-122.32,1:11,4
37.57,-122.32,2:7,5
37.57,-122.32,3:13,6
37.68,-121.75,10:6,1
37.68,-121.75,11:2,2
37.68,-121.75,11:2,3
37.68,-121.75,1:11,4
37.68,-121.75,1:11,5
37.68,-121.75,1:11,6
37.68,-121.75,1:11,7
37.68,-121.75,1:31,8
37.70,-122.45,1:11,1
37.89,-122.47,10:7,1
37.89,-122.47,10:9,2
37.89,-122.47,11:2,3
37.89,-122.47,1:12,4
37.89,-122.47,1:12,5
37.89,-122.47,1:19,6
37.89,-122.47,4:7,7
38.24,-122.46,10:6,1
38.24,-122.46,10:9,2
38.24,-122.46,10:9,3
38.24,-122.46,1:11,4
38.24,-122.46,1:11,5
38.24,-122.46,1:16,6
38.24,-122.46,4:4,7
38.41,-122.01,10:8,1
38.41,-122.01,1:12,2
38.41,-122.01,1:22,3
38.55,-122.15,10:4,4
38.55,-122.15,10:5,5
38.55,-122.15,10:9,6
38.55,-122.15,1:11,7
38.55,-122.15,2:7,8
38.55,-122.15,2:29,9
38.92,-121.07,10:7,1
38.92,-121.07,10:7,2
38.92,-121.07,10:9,3
38.92,-121.07,11:2,4
38.92,-121.07,11:2,5
38.92,-121.07,11:2,6
38.92,-121.07,11:2,7
38.92,-121.07,11:2,8
38.92,-121.07,11:2,9
33.42,-117.62,1:15,1
33.79,-118.29,10:9,1
34.05,-118.25,3:28,1
34.09,-118.29,10:4,2
34.13,-118.33,10:9,3
37.34,-121.95,10:9,1
37.34,-121.95,11:2,2
37.34,-121.95,1:11,3
37.34,-121.95,1:26,4
37.65,-121.85,1:11,1
37.65,-121.85,1:11,2
37.65,-121.85,1:11,3
37.65,-121.85,1:12,4
37.71,-121.91,10:8,5
37.71,-121.91,1:16,6
37.77,-122.27,10:3,1
37.77,-122.27,10:7,2
37.77,-122.27,10:9,3
37.77,-122.27,1:11,4
37.77,-122.27,1:11,5
37.77,-122.27,1:11,6
37.77,-122.27,1:11,7
37.77,-122.27,1:11,8
37.77,-122.27,1:11,9
37.78,-122.39,10:8,1
37.78,-122.39,1:11,2
37.78,-122.39,1:19,3
37.79,-122.40,2:3,4
37.80,-122.41,1:11,5
37.80,-122.41,2:11,6
38.58,-121.37,10:8,1
38.58,-121.37,10:8,2
38.58,-121.37,10:9,3
38.58,-121.37,11:2,4
38.58,-121.37,1:11,5
38.58,-121.37,1:11,6
38.58,-121.37,1:11,7
38.58,-121.37,1:11,8
38.58,-121.37,1:13,9
38.58,-121.37,1:13,10
39.76,-104.87,10:8,1
39.76,-104.87,1:11,2
39.76,-104.87,1:11,3
39.76,-104.87,1:11,4
39.76,-104.87,1:11,5
39.76,-104.87,1:11,6
39.76,-104.87,1:30,7
39.76,-104.87,3:4,8
39.76,-104.87,3:4,9
39.76,-104.87,3:14,10
33.75,-117.77,1:11,1
34.14,-118.16,11:2,2
34.14,-118.16,1:11,3
34.14,-118.16,1:11,4
34.14,-118.16,1:11,5
34.14,-118.16,1:11,6
