lat,lon,conc,Submission,radius,sqrt
37.76,-121.93,37.76-121.93,10/7/15 10:20,1,1
38.53,-122.81,38.53-122.81,10/7/15 10:32,4,2
38.43,-122.67,38.43-122.67,10/7/15 11:00,7,2.645751311
37.76,-122.39,37.76-122.39,10/7/15 11:01,2,1.414213562
38.34,-122.7,38.34-122.7,10/7/15 11:02,1,1
37.81,-121.97,37.81-121.97,10/7/15 11:03,1,1
38.23,-122.12,38.23-122.12,10/7/15 11:04,1,1
38.78,-121.37,38.78-121.37,10/7/15 11:05,1,1
37.38,-122.08,37.38-122.08,10/7/15 11:09,1,1
37.77,-122.49,37.77-122.49,10/7/15 11:09,1,1
36.93,-119.56,36.93-119.56,10/7/15 11:10,1,1
38.4,-122.86,38.4-122.86,10/7/15 11:10,4,2
37.8,-122.21,37.8-122.21,10/7/15 11:11,2,1.414213562
37.97,-122.5,37.97-122.5,10/7/15 11:11,2,1.414213562
38.61,-120.97,38.61-120.97,10/7/15 11:12,1,1
36.93,-119.56,36.93-119.56,10/7/15 11:13,2,1.414213562
38.45,-122.59,38.45-122.59,10/7/15 11:13,3,1.732050808
47.61,-122.2,47.61-122.2,10/7/15 11:13,1,1
38.57,-121.46,38.57-121.46,10/7/15 11:17,1,1
37.41,-122.05,37.41-122.05,10/7/15 11:18,5,2.236067977
38.4,-122.86,38.4-122.86,10/7/15 11:18,5,2.236067977
37.56,-122.37,37.56-122.37,10/7/15 11:19,1,1
38.57,-121.46,38.57-121.46,10/7/15 11:20,2,1.414213562
38.57,-121.46,38.57-121.46,10/7/15 11:22,3,1.732050808
38.61,-120.97,38.61-120.97,10/7/15 11:22,2,1.414213562
37.34,-121.88,37.34-121.88,10/7/15 11:24,1,1
38.4,-122.86,38.4-122.86,10/7/15 11:24,6,2.449489743
37.81,-121.97,37.81-121.97,10/7/15 11:25,2,1.414213562
37.8,-122.43,37.8-122.43,10/7/15 11:26,2,1.414213562
33.7,-117.76,33.7-117.76,10/7/15 11:28,1,1
37.28,-121.95,37.28-121.95,10/7/15 11:28,1,1
37.29,-121.88,37.29-121.88,10/7/15 11:28,2,1.414213562
37.97,-122.5,37.97-122.5,10/7/15 11:30,3,1.732050808
33.75,-118.13,33.75-118.13,10/7/15 11:31,1,1
41.83,-87.68,41.83-87.68,10/7/15 11:32,1,1
41.86,-87.81,41.86-87.81,10/7/15 11:33,1,1
38.23,-122.56,38.23-122.56,10/7/15 11:39,3,1.732050808
38.43,-122.67,38.43-122.67,10/7/15 11:42,8,2.828427125
37.76,-122.39,37.76-122.39,10/7/15 11:43,3,1.732050808
38.92,-121.07,38.92-121.07,10/7/15 11:43,2,1.414213562
38.45,-122.68,38.45-122.68,10/7/15 11:53,2,1.414213562
37.89,-122.47,37.89-122.47,10/7/15 11:54,1,1
39.74,-121.83,39.74-121.83,10/7/15 11:55,1,1
38.23,-122.12,38.23-122.12,10/7/15 11:57,2,1.414213562
37.8,-122.43,37.8-122.43,10/7/15 12:05,3,1.732050808
39.9,-121.83,39.9-121.83,10/7/15 12:08,1,1
36.61,-121.92,36.61-121.92,10/7/15 12:10,1,1
38.23,-122.56,38.23-122.56,10/7/15 12:11,4,2
37.76,-122.39,37.76-122.39,10/7/15 12:13,4,2
38.45,-122.68,38.45-122.68,10/7/15 12:15,3,1.732050808
37.49,-122.21,37.49-122.21,10/7/15 12:16,1,1
38.5,-122.76,38.5-122.76,10/7/15 12:17,3,1.732050808
37.89,-122.56,37.89-122.56,10/7/15 12:20,3,1.732050808
38.45,-122.59,38.45-122.59,10/7/15 12:21,4,2
38.1,-122.63,38.1-122.63,10/7/15 12:22,3,1.732050808
37.99,-122.58,37.99-122.58,10/7/15 12:23,1,1
37.78,-122.43,37.78-122.43,10/7/15 12:24,1,1
37.86,-122.25,37.86-122.25,10/7/15 12:24,1,1
37.81,-122.24,37.81-122.24,10/7/15 12:27,3,1.732050808
35.67,-105.95,35.67-105.95,10/7/15 12:35,1,1
37.56,-121.98,37.56-121.98,10/7/15 12:35,1,1
37.74,-122.48,37.74-122.48,10/7/15 12:35,1,1
37.89,-122.19,37.89-122.19,10/7/15 12:37,2,1.414213562
37.81,-122.24,37.81-122.24,10/7/15 12:38,4,2
37.89,-122.56,37.89-122.56,10/7/15 12:42,4,2
37.39,-121.96,37.39-121.96,10/7/15 12:54,1,1
38.53,-122.81,38.53-122.81,10/7/15 12:56,5,2.236067977
38.43,-122.67,38.43-122.67,10/7/15 12:57,9,3
37.75,-122.43,37.75-122.43,10/7/15 12:58,3,1.732050808
37.25,-121.92,37.25-121.92,10/7/15 13:11,2,1.414213562
38.53,-122.81,38.53-122.81,10/7/15 13:12,6,2.449489743
38.61,-120.97,38.61-120.97,10/7/15 13:12,3,1.732050808
37.97,-122.5,37.97-122.5,10/7/15 13:15,4,2
37.5,-122.3,37.5-122.3,10/7/15 13:16,1,1
37.74,-122.41,37.74-122.41,10/7/15 13:22,4,2
37.92,-122.51,37.92-122.51,10/7/15 13:23,1,1
34.11,-118.26,34.11-118.26,10/7/15 13:29,1,1
38.44,-122.78,38.44-122.78,10/7/15 13:45,2,1.414213562
38.53,-122.81,38.53-122.81,10/7/15 13:53,7,2.645751311
38.5,-122.76,38.5-122.76,10/7/15 13:55,4,2
37.44,-122.41,37.44-122.41,10/7/15 13:58,1,1
37.97,-121.96,37.97-121.96,10/7/15 14:05,1,1
38.43,-122.67,38.43-122.67,10/7/15 14:05,10,3.16227766
39.48,-119.74,39.48-119.74,10/7/15 14:06,1,1
37.77,-122.27,37.77-122.27,10/7/15 14:10,2,1.414213562
39.48,-119.74,39.48-119.74,10/7/15 14:11,2,1.414213562
37.81,-121.97,37.81-121.97,10/7/15 14:13,3,1.732050808
37.74,-122.44,37.74-122.44,10/7/15 14:14,1,1
37.89,-122.56,37.89-122.56,10/7/15 14:17,5,2.236067977
41.83,-87.68,41.83-87.68,10/7/15 14:24,2,1.414213562
33.83,-118.38,33.83-118.38,10/7/15 14:35,1,1
38.34,-122.7,38.34-122.7,10/7/15 14:39,2,1.414213562
38.39,-122.75,38.39-122.75,10/7/15 14:39,1,1
37.3,-122.09,37.3-122.09,10/7/15 14:40,2,1.414213562
38.55,-122.39,38.55-122.39,10/7/15 14:45,1,1
37.17,-121.65,37.17-121.65,10/7/15 14:46,1,1
38.55,-122.39,38.55-122.39,10/7/15 14:48,2,1.414213562
37.91,-122.3,37.91-122.3,10/7/15 14:50,1,1
40.74,-73.93,40.74-73.93,10/7/15 14:58,1,1
38.57,-121.46,38.57-121.46,10/7/15 15:04,4,2
38.5,-122.76,38.5-122.76,10/7/15 15:13,5,2.236067977
37.44,-122.15,37.44-122.15,10/7/15 15:20,1,1
37.84,-121.97,37.84-121.97,10/7/15 15:27,2,1.414213562
37.9,-122.11,37.9-122.11,10/7/15 15:33,1,1
37.92,-122.51,37.92-122.51,10/7/15 15:48,2,1.414213562
38.49,-121.53,38.49-121.53,10/7/15 15:52,3,1.732050808
33.52,-117.61,33.52-117.61,10/7/15 16:04,1,1
36.12,-95.91,36.12-95.91,10/7/15 16:20,1,1
38.53,-122.81,38.53-122.81,10/7/15 16:24,8,2.828427125
38.92,-121.07,38.92-121.07,10/7/15 16:28,3,1.732050808
38.45,-122.68,38.45-122.68,10/7/15 16:33,4,2
38.4,-122.86,38.4-122.86,10/7/15 16:41,7,2.645751311
38.45,-122.68,38.45-122.68,10/7/15 16:48,5,2.236067977
37.81,-121.97,37.81-121.97,10/7/15 16:49,4,2
37.23,-121.95,37.23-121.95,10/7/15 16:53,1,1
37.83,-122.22,37.83-122.22,10/7/15 16:53,1,1
37.75,-122.43,37.75-122.43,10/7/15 17:01,4,2
37.78,-122.43,37.78-122.43,10/7/15 17:28,2,1.414213562
33.88,-118.4,33.88-118.4,10/7/15 17:31,2,1.414213562
37.83,-122.29,37.83-122.29,10/7/15 17:44,1,1
40.36,-74,40.36-74,10/7/15 17:47,1,1
33.86,-118.33,33.86-118.33,10/7/15 18:02,1,1
39.61,-86.11,39.61-86.11,10/7/15 18:19,1,1
37.83,-122.26,37.83-122.26,10/7/15 18:26,4,2
37.89,-122.03,37.89-122.03,10/7/15 18:30,3,1.732050808
37.97,-122.5,37.97-122.5,10/7/15 18:40,5,2.236067977
42.88,-78.85,42.88-78.85,10/7/15 18:41,1,1
37.98,-122.15,37.98-122.15,10/7/15 18:51,1,1
38.5,-122.76,38.5-122.76,10/7/15 18:52,6,2.449489743
37.28,-121.95,37.28-121.95,10/7/15 18:55,2,1.414213562
33.9,-117.91,33.9-117.91,10/7/15 19:08,1,1
37.79,-122.42,37.79-122.42,10/7/15 19:17,3,1.732050808
44.94,-93.1,44.94-93.1,10/7/15 19:17,3,1.732050808
38.5,-122.76,38.5-122.76,10/7/15 19:35,7,2.645751311
38.67,-121.14,38.67-121.14,10/7/15 19:48,1,1
38.67,-121.14,38.67-121.14,10/7/15 19:53,2,1.414213562
36.27,-119.63,36.27-119.63,10/7/15 20:14,1,1
37.9,-122.28,37.9-122.28,10/7/15 20:16,2,1.414213562
38.53,-122.81,38.53-122.81,10/7/15 20:19,9,3
38.11,-122.13,38.11-122.13,10/7/15 20:26,1,1
39.25,-123.73,39.25-123.73,10/7/15 20:40,1,1
37.86,-122.28,37.86-122.28,10/7/15 20:45,1,1
37.91,-122.07,37.91-122.07,10/7/15 20:52,3,1.732050808
38.22,-122.55,38.22-122.55,10/7/15 20:54,1,1
37.8,-122.21,37.8-122.21,10/7/15 21:01,3,1.732050808
38.43,-122.67,38.43-122.67,10/7/15 21:05,11,3.31662479
37.17,-121.65,37.17-121.65,10/7/15 21:19,2,1.414213562
34.03,-118.49,34.03-118.49,10/7/15 21:26,1,1
38.4,-122.86,38.4-122.86,10/7/15 21:48,8,2.828427125
38.45,-122.59,38.45-122.59,10/7/15 22:04,5,2.236067977
38.45,-122.68,38.45-122.68,10/7/15 22:08,6,2.449489743
37.8,-122.43,37.8-122.43,10/7/15 22:10,4,2
37.88,-122.29,37.88-122.29,10/7/15 22:11,1,1
37.89,-122.56,37.89-122.56,10/7/15 22:21,6,2.449489743
37.45,-122.17,37.45-122.17,10/7/15 22:28,4,2
37.57,-122.32,37.57-122.32,10/7/15 22:37,1,1
38.43,-122.67,38.43-122.67,10/7/15 22:43,12,3.464101615
38.67,-121.14,38.67-121.14,10/7/15 22:45,3,1.732050808
37.89,-122.03,37.89-122.03,10/7/15 23:07,4,2
37.45,-122.17,37.45-122.17,10/7/15 23:11,5,2.236067977
37.89,-122.19,37.89-122.19,10/7/15 23:45,3,1.732050808
37.89,-122.56,37.89-122.56,10/8/15 0:19,7,2.645751311
43.6,-116.12,43.6-116.12,10/8/15 5:15,1,1
43.6,-116.12,43.6-116.12,10/8/15 5:19,2,1.414213562
34.06,-118.81,34.06-118.81,10/8/15 5:20,1,1
42.25,-84.2,42.25-84.2,10/8/15 5:22,1,1
40.77,-73.95,40.77-73.95,10/8/15 5:38,1,1
40.77,-73.95,40.77-73.95,10/8/15 5:43,2,1.414213562
37.91,-122.07,37.91-122.07,10/8/15 6:46,4,2
37.9,-122.11,37.9-122.11,10/8/15 7:12,2,1.414213562
38.34,-122.7,38.34-122.7,10/8/15 7:24,3,1.732050808
37.7,-122.08,37.7-122.08,10/8/15 7:36,1,1
37.99,-122.58,37.99-122.58,10/8/15 7:47,2,1.414213562
38.88,-77.17,38.88-77.17,10/8/15 7:47,1,1
37.8,-122.21,37.8-122.21,10/8/15 8:00,4,2
37.75,-122.43,37.75-122.43,10/8/15 8:01,5,2.236067977
37.71,-121.91,37.71-121.91,10/8/15 8:34,1,1
38.4,-122.86,38.4-122.86,10/8/15 8:36,9,3
37.25,-122.06,37.25-122.06,10/8/15 8:46,1,1
38.68,-121.05,38.68-121.05,10/8/15 8:47,3,1.732050808
37.8,-120.74,37.8-120.74,10/8/15 8:51,1,1
33.6,-117.82,33.6-117.82,10/8/15 8:57,1,1
37.9,-122.28,37.9-122.28,10/8/15 9:08,3,1.732050808
37.77,-122.41,37.77-122.41,10/8/15 9:17,1,1
33.62,-117.87,33.62-117.87,10/8/15 9:23,2,1.414213562
37.75,-122.13,37.75-122.13,10/8/15 9:27,1,1
37.74,-122.41,37.74-122.41,10/8/15 9:34,5,2.236067977
37.78,-121.88,37.78-121.88,10/8/15 9:36,1,1
38.23,-122.12,38.23-122.12,10/8/15 9:59,3,1.732050808
38.41,-123.01,38.41-123.01,10/8/15 9:59,1,1
33.55,-117.78,33.55-117.78,10/8/15 10:09,1,1
37.77,-122.41,37.77-122.41,10/8/15 10:41,2,1.414213562
40.81,-124.01,40.81-124.01,10/8/15 10:43,1,1
37.25,-122.06,37.25-122.06,10/8/15 10:46,2,1.414213562
40.81,-124.01,40.81-124.01,10/8/15 10:47,2,1.414213562
40.33,-111.57,40.33-111.57,10/8/15 10:51,1,1
40.71,-73.99,40.71-73.99,10/8/15 11:01,2,1.414213562
38.45,-122.68,38.45-122.68,10/8/15 11:07,7,2.645751311
36.46,-121.82,36.46-121.82,10/8/15 11:19,1,1
38.58,-121.37,38.58-121.37,10/8/15 11:39,1,1
37.84,-122.23,37.84-122.23,10/8/15 11:41,1,1
38.58,-121.37,38.58-121.37,10/8/15 11:42,2,1.414213562
38.49,-121.53,38.49-121.53,10/8/15 11:54,4,2
40.98,-73.69,40.98-73.69,10/8/15 12:02,1,1
38.67,-121.14,38.67-121.14,10/8/15 12:21,4,2
38.86,-107.59,38.86-107.59,10/8/15 12:39,1,1
37.84,-122.23,37.84-122.23,10/8/15 12:50,2,1.414213562
37.89,-122.56,37.89-122.56,10/8/15 13:12,8,2.828427125
38.45,-122.59,38.45-122.59,10/8/15 13:16,6,2.449489743
37.41,-122.13,37.41-122.13,10/8/15 13:26,4,2
37.41,-122.13,37.41-122.13,10/8/15 13:29,5,2.236067977
37.78,-122.46,37.78-122.46,10/8/15 14:19,2,1.414213562
40.76,-73.96,40.76-73.96,10/8/15 14:28,1,1
38.76,-121.16,38.76-121.16,10/8/15 15:02,1,1
37.38,-122.08,37.38-122.08,10/8/15 15:14,2,1.414213562
38.53,-122.81,38.53-122.81,10/8/15 15:20,10,3.16227766
38.68,-121.05,38.68-121.05,10/8/15 15:36,4,2
34.14,-118.89,34.14-118.89,10/8/15 15:39,1,1
37.78,-122.39,37.78-122.39,10/8/15 15:41,1,1
37.89,-122.56,37.89-122.56,10/8/15 16:16,9,3
38.41,-122.01,38.41-122.01,10/8/15 16:16,1,1
38.45,-122.59,38.45-122.59,10/8/15 16:26,7,2.645751311
38.43,-122.67,38.43-122.67,10/8/15 16:34,13,3.605551275
37.93,-122.53,37.93-122.53,10/8/15 16:35,1,1
38.48,-121.34,38.48-121.34,10/8/15 16:44,1,1
38.23,-122.56,38.23-122.56,10/8/15 16:48,5,2.236067977
37.25,-122.06,37.25-122.06,10/8/15 17:29,3,1.732050808
42.54,-83.21,42.54-83.21,10/8/15 17:51,1,1
37.67,-121.93,37.67-121.93,10/8/15 18:03,1,1
37.67,-121.93,37.67-121.93,10/8/15 18:11,2,1.414213562
38.67,-121.14,38.67-121.14,10/8/15 18:24,5,2.236067977
38.67,-121.14,38.67-121.14,10/8/15 18:28,6,2.449489743
37.35,-122.03,37.35-122.03,10/8/15 19:06,1,1
39.76,-104.87,39.76-104.87,10/8/15 19:23,1,1
40.93,-73.82,40.93-73.82,10/8/15 19:32,1,1
40.93,-73.82,40.93-73.82,10/8/15 19:34,2,1.414213562
42.23,-87.85,42.23-87.85,10/8/15 19:35,1,1
33.83,-84.38,33.83-84.38,10/8/15 19:59,1,1
40.71,-73.99,40.71-73.99,10/8/15 20:28,3,1.732050808
37.23,-121.95,37.23-121.95,10/8/15 20:36,2,1.414213562
37.22,-121.99,37.22-121.99,10/8/15 20:38,1,1
37.22,-121.99,37.22-121.99,10/8/15 20:43,2,1.414213562
38.5,-122.76,38.5-122.76,10/8/15 21:05,8,2.828427125
38.45,-122.59,38.45-122.59,10/8/15 21:10,8,2.828427125
35.25,-120.62,35.25-120.62,10/8/15 21:27,3,1.732050808
37.76,-122.44,37.76-122.44,10/8/15 21:29,2,1.414213562
35.25,-120.62,35.25-120.62,10/8/15 21:31,4,2
37.76,-122.44,37.76-122.44,10/8/15 21:32,3,1.732050808
37.93,-122.53,37.93-122.53,10/8/15 21:35,2,1.414213562
38.5,-122.76,38.5-122.76,10/8/15 21:38,9,3
37.52,-122.35,37.52-122.35,10/8/15 22:02,1,1
38.4,-122.86,38.4-122.86,10/8/15 22:02,10,3.16227766
37.65,-122.42,37.65-122.42,10/8/15 23:06,1,1
38.51,-121.12,38.51-121.12,10/8/15 23:38,1,1
38.51,-121.12,38.51-121.12,10/8/15 23:43,2,1.414213562
37.44,-122.2,37.44-122.2,10/9/15 4:46,1,1
26.14,-80.13,26.14-80.13,10/9/15 5:00,1,1
38.68,-121.05,38.68-121.05,10/9/15 6:12,5,2.236067977
29.61,-95.61,29.61-95.61,10/9/15 6:19,1,1
38.74,-121.25,38.74-121.25,10/9/15 6:51,2,1.414213562
38.47,-122.6,38.47-122.6,10/9/15 6:56,1,1
41.89,-87.81,41.89-87.81,10/9/15 7:06,1,1
42.26,-71.61,42.26-71.61,10/9/15 7:19,1,1
38.4,-122.82,38.4-122.82,10/9/15 7:28,1,1
37.67,-120.95,37.67-120.95,10/9/15 7:54,1,1
38.39,-122.75,38.39-122.75,10/9/15 8:04,2,1.414213562
37.94,-122.56,37.94-122.56,10/9/15 8:31,1,1
37.78,-122.43,37.78-122.43,10/9/15 8:36,3,1.732050808
37.13,-121.94,37.13-121.94,10/9/15 8:39,2,1.414213562
37.49,-122.26,37.49-122.26,10/9/15 8:43,4,2
38.24,-122.46,38.24-122.46,10/9/15 8:46,2,1.414213562
37.78,-122.43,37.78-122.43,10/9/15 8:51,4,2
38.67,-121.14,38.67-121.14,10/9/15 9:01,7,2.645751311
38.67,-121.14,38.67-121.14,10/9/15 9:05,8,2.828427125
37.41,-122.13,37.41-122.13,10/9/15 9:26,6,2.449489743
33.62,-117.87,33.62-117.87,10/9/15 9:51,3,1.732050808
37.49,-122.26,37.49-122.26,10/9/15 9:51,5,2.236067977
