rank,place,population,lat,lon
255,San Antonio,2,29.45,-98.5
256,CARPENTERSVLE,1,42.12,-88.27
257,Frisco,3,33.14,-96.81
258,Piedmont,4,37.83,-122.22
259,Chanhassen,1,44.85,-93.55
260,Union city,1,37.59,-122.06
261,Weston,2,42.36,-71.26
262,Jackson,1,43.47,-110.76
264,Templeton,1,35.54,-120.75
265,Driggs,2,41.9,-111.81
266,solana beach,2,32.99,-117.25
267,Portola Valley,4,37.37,-122.21
268,Venice,3,33.99,-118.46
269,Cardiff,2,33.01,-117.27
270,STAFFORD,1,29.62,-95.56
271,Benicia,2,38.11,-122.13
272,Petalum,1,38.23,-122.56
273,New Windsor,1,39.54,-77.1
274,La Crescenta,2,34.23,-118.24
275,monrovia,2,34.15,-117.99
276,Washington,2,38.89,-77.03
277,Minnetrista,1,44.9,-93.74
278,Mendocino,2,39.3,-123.73
279,Plumas Lake,1,39.08,-121.55
280,Layfayette,1,37.9,-122.11
281,Forestville,4,38.48,-122.9
282,SF,4,37.78,-122.43
283,Bountiful,2,40.88,-111.82
284,Wellesley,1,42.3,-71.28
285,Edina,2,44.96,-93.26
286,Highlands Ranch,3,39.59,-105.01
287,Santa Cruz,4,36.97,-121.98
288,Sandy,4,40.56,-111.72
289,San Marino,1,34.12,-118.11
290,Foster City,2,37.55,-122.26
291,Rancho Santa Fe,1,33.02,-117.19
292,Essex,1,44.52,-73.05
293,Beverly Hills,1,34.09,-118.41
294,Arlington,1,38.87,-77.1
295,Holladay,4,40.65,-111.83
296,Oak Park,3,34.19,-118.76
297,Steamboat Springs,3,40.47,-106.82
298,Delaware,2,40.29,-83.08
299,St. Helena,2,38.55,-122.39
300,Park City,1,40.71,-111.55
301,Yakima,4,46.59,-120.53
303,Rowland heights,1,33.97,-117.9
304,El Macero,3,38.53,-121.66
305,Ojai,5,34.51,-119.29
306,Draper,1,40.49,-111.84
307,Canby,1,45.21,-122.66
308,Millbrae,4,37.59,-122.4
309,Lafayette Hill,1,40.08,-75.25
310,"Cambridge,",1,42.37,-71.11
311,Dumont,1,40.94,-73.99
312,Brookline,2,42.32,-71.14
313,Winter Park,1,28.59,-81.34
314,Mission Viejo,5,33.6,-117.66
315,Topanga,1,34.05,-118.41
316,Meadow Vista,1,39,-121.03
317,Ridgefield,3,41.27,-73.49
318,Claremont,1,34.12,-117.71
319,Antelope,2,38.71,-121.36
320,Issaquah,5,47.55,-122
321,Rocklin,7,38.81,-121.28
322,"Park City, Ut",1,40.71,-111.55
323,Saint Petersburg,1,27.75,-82.64
324,Gualala,1,38.82,-123.51
325,Simi Valley,2,34.3,-118.72
326,Rowlett,1,32.9,-96.55
327,Boyes Hot Springs,1,38.31,-122.48
328,South Jordan,2,40.55,-111.96
329,Cambridge,1,42.37,-71.11
330,Syracuse,2,43.04,-76.14
331,New Canaan,1,41.27,-73.49
332,Keizer,1,45.01,-123.01
333,Pflugerville,1,30.44,-97.62
334,El Granada,1,37.5,-122.47
335,Laguna Niguel,2,33.53,-117.7
336,Cherry Hills Village,1,39.64,-104.96
337,Winters,1,38.56,-121.99
338,Stevenson Ranch,1,34.37,-118.61
339,Chatsworth,1,34.28,-118.61
340,Altadena,4,34.2,-118.13
341,Arvada,1,39.82,-105.1
342,Roswell,1,34.03,-84.35
343,Lakewood,1,33.85,-118.11344
344,Clayton,3,37.88,-121.84
345,Oceanside,1,33.35,-117.43
346,North Conway,1,44.05,-71.12
347,Carlsbad,1,33.09,-117.27
349,Rockville,1,39.08,-77.15
350,Columbia,1,34,-81.03
351,Carson city,2,39.16,-119.86
353,Fort Worth,1,32.75,-97.33
354,Dearborn,1,42.31,-83.21
354,Dearborn,1,42.31,-83.21
355,Kent,1,47.39,-122.26
356,Missoula,1,46.94,-113.85
357,Redmond,4,47.68,-122.12
358,bakersfield,5,35.38,-119.22
359,Lake Oswego,1,45.4,-122.68
360,Winchester,1,42.45,-71.14
361,Pleasant Grove,2,40.46,-111.63
362,Marietta,1,33.95,-84.54
363,West Linn,2,45.34,-122.66
364,Sao Paulo,1,44.33,-72.98
365,Ashland,1,42.15,-122.53
366,Penfield,1,43.15,-77.44
367,Camarillo,1,34.2,-118.98
368,Payette,1,44.06,-116.7
369,Rio Vista,1,38.18,-121.73
370,Dillon beach,1,38.24,-122.95
371,Dallas,2,32.79,-96.76
372,San Clemente,11,33.48,-117.61
373,Tacoma,2,47.24,-122.53
374,boston,1,42.35,-71.06
375,La Crescenta-Montrose,1,34.23,-118.24
376,TUSTIN,2,33.75,-117.77
377,Corona,3,33.83,-117.6
378,Thousand Oaks,2,34.19,-118.81
379,Marquette,1,46.55,-87.39
380,hills,1,34.26,-118.32
381,Lafayettew,1,37.9,-122.11
382,flagstaff,1,35.29,-111.32
383,Montara,2,37.54,-122.5
384,Parker,2,39.59,-105.01
385,Lone Tree,1,39.59,-105.01
386,Calistoga,3,38.62,-122.61
387,Hilo,1,19.69,-155.08
388,penryn,1,38.85,-121.18
389,Eagle,1,43.79,-116.38
390,Bremerton,1,47.57,-122.75
391,Dover,1,42.24,-71.27
392,GARDEN GROVE,1,33.78,-117.93
393,La Mirada,1,33.9,-118
394,Cotuit,1,41.62,-70.44
395,Salem,1,44.9,-122.92
396,Flower Mound,3,33.02,-97.09
397,Greenwich,1,41.06,-73.63
398,San Leandro,3,37.7,-122.12
399,Martinz,1,37.98,-122.15
400,Moutier,1,41.66,-70.93
401,Trappe,1,40.18,-75.45
402,Valencia,2,34.46,-118.57
403,Walnut,1,34.01,-117.85
404,East Palo Lto,1,37.45,-122.1
405,Los Alamos,1,35.89,-106.28
406,Alviso,1,37.44,-121.99
407,Tarrytown,2,41.06,-73.86
408,Centennial,1,39.64,-104.99
409,Belvedere,1,37.89,-122.47
410,Lincoln,2,38.93,-121.25
411,Vallejo,2,38.09,-122.25
412,rochester,1,43.16,-77.61
413,Teton Village,1,43.57,-110.81
414,Rollinsville,1,39.92,-105.5
415,Grass Valley,1,39.18,-120.98
416,Dyer,2,41.5,-87.5
417,Hermosa Beach,1,33.86,-118.39
418,Guerneville,1,38.52,-123.01
419,La Jolla,1,32.86,-117.24
420,Cary,1,35.78,-78.79
421,Medford,1,42.33,-122.79
422,Swisher,1,41.84,-91.69
424,Carson,1,45.79,-121.89
425,South Pasadena,1,34.11,-118.15
426,Holt,2,42.63,-84.52
427,Mercer Island,1,47.56,-122.22
428,Greenville,3,34.83,-82.37
429,Studio City,1,34.13,-118.39
430,Ukiah,1,39.12,-123.28
431,Clyde Hill,2,47.61,-122.21
432,Grand Junction,2,38.99,-108.66
433,Wilder,1,43.65,-116.93
434,Citrus Heights,1,38.69,-121.31
435,Palo Cedro,1,40.56,-122.2
436,englewood,1,26.95,-82.35
437,Chesapeake,1,36.67,-76.3
438,Kirkland,1,47.72,-122.2
439,San Francisci,1,37.8,-122.43
440,Mapleton,1,40.11,-111.48
441,Wilmette,1,42.07,-87.72
442,willits,1,39.49,-123.36
443,Dixon,1,38.39,-121.81
444,Centereach,1,40.87,-73.08
445,murray,2,40.62,-111.71
446,New Orleans,1,30.06,-89.93
447,Newport,2,44.66,-124.01
448,Lake Arrowhead,1,34.27,-117.19
449,Minneapolis,2,44.96,-93.26
450,Boulder Creek,1,37.16,-122.15
451,Gilroy,1,37.06,-121.55
452,Vashon,2,47.42,-122.45
453,Stockton,1,38,-121.32
454,Tigard,1,45.4,-122.79
455,Cardiff by the sea,1,33.01,-117.27
456,Highland,1,41.54,-87.45
457,Tracy,1,37.73,-121.42
458,Sugarland,1,29.61,-95.61
459,Sherman Oaks,2,34.14,-118.42
460,Ventura,1,34.28,-119.22
461,Brisbane,1,37.68,-122.41
462,Summit,1,40.71,-74.36
463,Bronx,1,40.84,-73.87
464,Randolph,1,40.84,-74.58
465,Sam Francisco,1,37.8,-122.43
466,Chelmsford,1,42.59,-71.36
467,breckenridge,2,39.5,-106.04
468,Fremon,1,37.51,-121.89
469,Plymouth,1,44.96,-93.26
470,Carrollton,1,32.98,-96.89
471,Yardley,1,40.2,-74.78
472,Milwaukee,2,43.06,-87.96
473,Avila Beach,1,35.18,-120.76
474,Jenner,1,38.51,-123.21
475,Duncan,1,34.52,-97.96
476,Roanoke,1,37.27,-79.95
477,Ladera ranch,1,33.56,-117.63
478,Seaside,1,36.62,-121.82
479,Lakeport,2,39.04,-122.93
480,Cheyenne,2,41.14,-104.79
481,Madisonville,1,30.39,-90.16
482,Wichita,1,37.68,-97.34
483,Bonsall,1,33.28,-117.19
484,Langhorne,1,40.17,-74.91
485,La Puente,1,34.04,-117.98
486,Norwalk,1,33.9,-118.07
487,Drexel hill,1,39.94,-75.3
488,La Habra,1,33.94,-117.95
489,Pico Rivera,1,33.98,-118.08
490,Woodacre,1,38,-122.64
491,Montclair,1,34.07,-117.7
492,Monterey,2,36.6,-121.88
493,Carmel Valley,4,36.39,-121.65
494,Mammoth Lakes,2,37.58,-118.84
495,Palm Beach Gardens,2,26.74,-80.12
496,Paso Robles,1,35.61,-120.76
497,los altos hills,1,37.36,-122.14
498,Phoenix,1,33.83,-112.11
499,Madison,1,43.07,-89.38
500,Scottsdale,1,33.61,-111.89
501,Newark,1,40.06,-82.42
502,signal hill,1,33.8,-118.16
503,South Lake Tahoe,1,38.94,-119.97
504,Bend,1,43.98,-121.27
505,Big Sky,2,45.26,-111.32
506,Brentwood,1,37.87,-121.68
507,Basking Ridge,1,40.67,-74.56
508,Rancho Santa Margarita,1,33.61,-117.61
509,Pittsburgh,1,40.43,-79.97
510,"Santa Rosa, CA",1,38.45,-122.59
